,State,city,Zipcode,latitude,longitude,counts
12484,CA,Morro Bay,93442,35.36725,-120.847,2
12486,CA,Fullerton,92832,33.869725,-117.938109,78
12564,WA,Wenatchee,98801,47.44851,-120.331437,17
12581,CA,Lodi,95240,38.13437,-121.2884,23
12604,CA,Monrovia,91016,34.13867,-117.9869,8
12612,CA,Pomona,91768,34.049341,-117.82341,12
12624,CA,Colfax,95713,39.084259,-120.956,5
12629,CA,West Hollywood,90069,34.08983,-118.393,54
12683,UT,Logan,84321,41.737713,-111.834442,17
12700,UT,Riverdale,84405,41.179728,-111.994029,2
12702,UT,St. George,84770,37.077643,-113.588156,8
12710,MT,Missoula,59801,46.845621,-114.023339,9
12719,CO,Grand Junction,81501,39.074359,-108.572597,26
12745,NM,Rio Rancho,87124,35.218873,-106.66282,3
12748,CA,Santa Barbara,93105,34.441146,-119.748892,70
12818,WA,Mount Vernon,98273,48.437569,-122.325494,8
12826,CA,Chatsworth,91311,34.253049,-118.598675,15
12841,OR,Tigard,97224,45.39645,-122.75364,16
12857,CA,Palo Alto,94304,37.782284,-122.418185,159
13016,CA,Hollister,95023,36.841817,-121.457305,12
13028,CA,Colton,92324,34.063087,-117.321885,13
13041,CA,Truckee,96161,39.324006,-120.169783,20
13061,OR,Oregon City,97045,45.333825,-122.596795,15
13076,WY,Cheyenne,82001,41.130047,-104.837326,6
13082,WA,Sequim,98382,48.079908,-123.105772,6
13088,WA,Fife,98424,47.244104,-122.383139,5
13093,CA,Manhattan Beach,90266,33.886925,-118.409726,38
13131,CA,Rancho Palos Verdes,90275,33.734966,-118.333329,3
13134,CA,San Rafael,94903,38.007147,-122.554769,68
13202,CA,Santa Ynez,93460,34.606071,-120.093694,5
13207,NV,Henderson,89014,36.048732,-115.027733,35
13242,NV,Jean,89019,35.610388,-115.391987,2
13244,CO,Carbondale,81623,39.401918,-107.211389,10
13254,WA,Port Orchard,98366,46.979315,-122.914031,4
13258,CA,Martinez,94533,37.99521,-122.116,24
13282,CA,Fort Irwin,92310,35.262442,-116.713878,19
13301,MT,Bozeman,59771,45.677719,-111.036339,7
13308,OR,Glide,97443,43.236194,-122.940719,1
13309,CA,Olympic Valley,96146,39.19591,-120.236254,2
13311,CO,Loveland,80537,40.394378,-105.070159,26
13337,CA,Calabasas,91302,34.104235,-118.711535,8
13345,ID,Coeur d'Alene,83814,47.697849,-116.808373,6
13351,OR,Hood River,97031,45.713918,-121.516681,12
13363,CA,Pismo Beach,93449,35.136076,-120.623728,16
13379,CA,Solvang,93463,34.605901,-120.101372,8
