State,city,Zipcode,latitude,longitude
CA,Davis,95616,38.54215,-121.771
CA,Hollister,95023,36.841817,-121.457305
NV,Las Vegas,89110,36.175124,-115.082231
CA,Rancho Cucamonga,91701,34.136245,-117.61613
CA,Roseville,95678,38.797142,-121.31234
CA,Colton,92324,34.063087,-117.321885
CA,Elk Grove,95624,38.431454,-121.299343
CA,Folsom,95630,38.676631,-121.179577
CA,Healdsburg,95448,38.606405,-122.862269
CA,Sacramento,95811,38.568681,-121.492654
CA,Sacramento,95814,38.578648,-121.50238
CA,San Diego,92123,32.8234943,-117.1436773
CA,Truckee,96161,39.324006,-120.169783
WA,Edmonds,98026,47.804365,-122.334163
CA,Morro Bay,93442,35.366911,-120.845475
CA,Palm Desert,92260,33.730812,-116.38184
CA,Rancho Cucamonga,91730,34.093578,-117.605249
OR,Oregon City,97045,45.333825,-122.596795
CA,Palm Desert,92260,33.729855,-116.379108
