Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
92832,41,1059317,2683655,476133,57.21377073,400570,48.13386205,1388.779387,-4834.802375
92833,5,262175,412325,119360,7.318209687,105450,6.465358676,169.362079,-589.802205
92835,3,70584,340035,32802,3.853165747,30060,3.531070128,101.652437,-353.774053
92840,4,218940,291704,108256,7.185927647,95460,6.336541653,135.127117,-471.72917
92841,4,135016,249356,60004,6.39428815,52420,5.586104007,135.11417,-471.894959
92843,2,93746,126496,44594,3.7686132,38280,3.235020705,67.54192,-235.891799
92844,4,92756,233852,42224,6.289885297,36820,5.484880083,135.087447,-471.929948
92845,1,16273,106269,7424,1.334291876,6775,1.217649173,33.78904,-118.028032
92860,3,80547,307035,32370,4.546348315,28350,3.981741573,101.775654,-352.681099
92866,45,700830,3344895,351900,64.95016611,310725,57.35049834,1520.647301,-5303.364327
92867,5,223275,477955,97225,7.511202101,84575,6.533915328,169.009761,-589.265494
92868,48,1299456,3117552,576432,71.50874581,496080,61.54075177,1621.643257,-5658.326271
92869,1,36846,111835,17730,1.540667362,16320,1.4181439,33.787336,-117.82574
92870,8,428800,759264,207272,12.06683356,186480,10.85637771,271.066003,-942.916205
92879,9,430848,628209,200574,14.07043143,173655,12.18204139,304.976769,-1057.853247
92880,6,417936,642456,183924,10.58007363,160200,9.215370456,203.393056,-705.667249
92881,6,201186,647316,88692,9.27158687,79920,8.35458917,203.009216,-705.142996
92882,13,952250,1045512,434772,20.40225246,389220,18.26466448,440.396992,-1528.759756
92883,3,107799,333447,44850,4.258046141,40290,3.825121048,101.434877,-352.525893
92886,8,406272,1002872,173720,10.33063749,163440,9.719314938,271.125733,-942.505345
92887,8,160096,1118976,73232,10.69548707,68240,9.966408646,271.00425,-941.936059
93001,15,485940,1025340,231060,18.2023003,194475,15.32023003,514.2394402,-1789.385242
93003,25,1290725,1972475,559225,29.05517743,496000,25.77024991,856.725614,-2980.630036
93004,4,126100,360072,57224,5.188032638,51420,4.661831369,137.117217,-476.69992
93010,9,414567,841806,182223,11.35911981,164925,10.28082533,307.994434,-1071.529066
93012,7,252364,717360,112371,8.507154213,99295,7.517223105,239.4269892,-833.1610459
93013,5,83260,406080,37095,5.97054563,29850,4.804442298,171.980275,-597.5391409
93015,1,17989,76334,7801,1.503662298,6810,1.312644564,34.394644,-118.925015
93021,9,347229,966267,166608,13.7227576,151020,12.43884359,308.645185,-1069.648881
93022,1,7179,84043,3247,1.305064309,2750,1.105305466,34.418322,-119.3368
93023,6,119370,465180,51408,6.620476497,44040,5.671603348,206.658007,-715.519207
93030,6,350532,438558,159570,10.91674078,138120,9.449271396,205.2473922,-714.9361074
93033,3,254103,189612,111924,6.500784109,95865,5.568043213,102.47971,-357.503363
93035,6,176124,552654,84648,8.525329842,77370,7.792325511,205.09136,-715.343067
93036,20,963240,1543160,446680,34.16551935,394300,30.15909439,684.690035,-2383.347263
93041,9,217872,570483,104301,14.66755731,90900,12.78301223,307.316376,-1072.777791
93042,5,590,-3333333330,540,inf,0,0,170.56059,-595.5305
93043,5,720,-3333333330,425,35.41666667,225,18.75,170.8155,-596.03161
